Reference Item 	 Label 
Q12017618	null	1
Q120180	Alexander III of Russia	2
Q12018217	null	1
Q1201876	Open Library	22
Q12018955	null	1
Q12018983	null	1
Q12018998	null	1
Q12019004	null	1
Q12019422	Helena Maliřová	1
Q12019430	null	1
Q12019446	null	1
Q12021124	null	1
Q12021128	null	1
Q12021344	null	1
Q12021408	null	1
Q12021503	Ilona Svobodová	1
Q12021617	Masaryk University Information System	7
Q12022006	null	1
Q12022140	null	1
Q12022294	Selena Gomez	2
Q12022307	null	1
Q12023020	null	2
Q12023280	null	1
Q12023296	null	2
Q12023305	null	1
Q12023307	null	1
Q12023391	null	1
Q12023420	null	1
Q12023483	null	1
Q12023633	null	1
Q12024196	Jaroslava Brousková	1
Q12024747	null	1
Q12024868	null	1
Q12024872	null	2
Q12025087	Jiří Dadák	1
Q12025340	null	1
Q12025410	null	1
Q12025499	null	1
Q12025640	null	1
Q12025678	null	1
Q12025754	null	1
Q12026037	null	1
Q12026691	null	1
Q12027283	null	2
Q12027908	null	2
Q12028213	null	1
Q12028214	Karel Förster	1
Q12028526	null	1
Q12028658	null	1
Q12028704	null	1
Q12028927	null	2
Q12028953	radiologist	1
Q12028954	null	1
Q12028966	null	1
Q12028973	null	1
Q1203060	Deutsche Grundkarte	33
Q12031491	null	1
Q12032523	Ladislav Klein	1
Q12032542	null	1
Q12032592	null	1
Q12032775	null	1
Q12032814	null	1
Q12033416	Libuše Jansová	1
Q12033484	null	1
Q12034156	null	1
Q12034171	null	1
Q12034213	null	1
Q12034358	Lukáš Hlavica	3
Q12035233	null	4
Q12035359	null	1
Q12035381	null	1
Q12035429	null	1
Q12035630	null	2
Q12035631	null	1
Q12035669	null	1
Q12035793	null	1
Q12035905	null	1
Q1203596	Deutsche Nationalbibliografie	2
Q12036115	null	1
Q120366	Jeanne Tripplehorn	1
Q12036622	null	1
Q12037121	null	1
Q12037151	null	2
Q12037372	null	1
Q1203744	Shirakawa	1
Q12037549	null	1
Q12037574	Miloš Mašek	1
Q12037601	null	2
Q12037625	null	1
Q12038481	null	1
Q12039222	null	1
Q1204117	Woeser	1
Q12041640	null	32
Q12042303	null	1
Q12042470	null	2
Q12042536	Olga Masaryková	1
Q12042553	null	2
Q12043199	null	1
Q12043955	Patrik Twardzik	1
Q12044095	Pavel Janata	1
Q12044117	null	2
Q12044615	null	1
Q12044845	null	1
Q12044919	null	1
Q12044960	Petr Malásek	1
Q12045012	null	1
Q12045086	null	1
Q12045150	null	1
Q12048018	null	1
Q12048022	null	1
Q1204827	Xbox Live Marketplace	1
Q12048689	null	1
Q12048748	null	2
Q12049083	null	1
Q12049125	Register of territorial identification, addresses and real estates	6222
Q12049219	Renata Tyršová	2
Q12049426	null	2
Q12050051	null	1
Q12050797	null	1
Q12051006	Sasa Rasilov	1
Q12054282	Simona Stasová	1
Q12054986	null	1
Q12054987	null	1
Q12056007	null	1
Q12056064	null	2
Q1205702	German Historical Institute Washington D.C.	1
Q12058398	Tatu	1
Q12061002	Josh Kilmer-Purcell	1
Q1206379	General Treaty	1
Q12078166	null	2
Q1210312	Dictionary of American Naval Fighting Ships	1
Q1210319	Dictionary of New Zealand Biography	1
Q12103255	null	1
Q12103258	null	5
Q12103259	Koziatyn 1st - Fastiv 1st	32
Q12103264	Plot Fastiv I	16
Q1210343	Dictionary of National Biography	33
Q12104263	Eshmunazar I	1
Q121061	Jeannine Burch	1
Q121081	Johann Westphal	1
Q121108	Joseph Valentin Boussinesq	2
Q1211233	Alemannic Wikipedia	1018
Q12113380	null	2
Q12113381	null	3
Q12113385	null	1
Q121254	social democracy	1
Q12126514	law on territorial organization	3
Q12147847	Nalan Kuixu	1
Q121504	Jiří Kodet	2
